run,group_size,groups,n_columns,auc
191,4,"('age', 'hours.per.week', 'marital.status', 'race')",14,0.8424909130431193
192,4,"('age', 'hours.per.week', 'marital.status', 'sex')",11,0.8447065896602675
193,4,"('age', 'hours.per.week', 'marital.status', 'native.country')",51,0.84202249222461
194,4,"('age', 'hours.per.week', 'occupation', 'relationship')",23,0.8739232311503542
195,4,"('age', 'hours.per.week', 'occupation', 'race')",22,0.8145101137394422
196,4,"('age', 'hours.per.week', 'occupation', 'sex')",19,0.8303642223371754
197,4,"('age', 'hours.per.week', 'occupation', 'native.country')",59,0.8140173016759622
198,4,"('age', 'hours.per.week', 'relationship', 'race')",13,0.8483934510166476
199,4,"('age', 'hours.per.week', 'relationship', 'sex')",10,0.8462975523228031
200,4,"('age', 'hours.per.week', 'relationship', 'native.country')",50,0.8447170512400728
201,4,"('age', 'hours.per.week', 'race', 'sex')",9,0.7892314975066472
202,4,"('age', 'hours.per.week', 'race', 'native.country')",49,0.7713024133746798
203,4,"('age', 'hours.per.week', 'sex', 'native.country')",46,0.7885615837949039
204,4,"('age', 'workclass', 'education', 'marital.status')",33,0.8724601290563415
205,4,"('age', 'workclass', 'education', 'occupation')",41,0.8238534509799605
206,4,"('age', 'workclass', 'education', 'relationship')",32,0.8727496425292511
207,4,"('age', 'workclass', 'education', 'race')",31,0.8070098489038328
208,4,"('age', 'workclass', 'education', 'sex')",28,0.8216782449126341
209,4,"('age', 'workclass', 'education', 'native.country')",68,0.8050324670113427
210,4,"('age', 'workclass', 'marital.status', 'occupation')",32,0.8643723533636186
211,4,"('age', 'workclass', 'marital.status', 'relationship')",23,0.834715207709078
212,4,"('age', 'workclass', 'marital.status', 'race')",22,0.8324936840719839
213,4,"('age', 'workclass', 'marital.status', 'sex')",19,0.8337404750898606
214,4,"('age', 'workclass', 'marital.status', 'native.country')",59,0.8327076448753966
215,4,"('age', 'workclass', 'occupation', 'relationship')",31,0.8660017802456024
216,4,"('age', 'workclass', 'occupation', 'race')",30,0.803061304743011
217,4,"('age', 'workclass', 'occupation', 'sex')",27,0.8201085206901959
218,4,"('age', 'workclass', 'occupation', 'native.country')",67,0.8047445012790069
219,4,"('age', 'workclass', 'relationship', 'race')",21,0.8371026262062058
220,4,"('age', 'workclass', 'relationship', 'sex')",18,0.8372162704909387
221,4,"('age', 'workclass', 'relationship', 'native.country')",58,0.835949301521876
222,4,"('age', 'workclass', 'race', 'sex')",17,0.7773761199909381
